FID,Reference,ReferenceNumb,studyYear,State,location,soil,planted date,Date rust first appeared,Growth stage applied,applicationsNumb,trade name,active ingredient,active ingredient coded,class,class code,amount,stats,replications,mean sep,rustSeverPerc,rustSeverPercLSD,rustSeverPercCont,rustSeverPercContLSD,rustSever1-8,rustSever1-8LSD,rustSever1-8Cont,rustSever1-8ContLSD,Tsincidence,TSincidenceLSD,TSincidenceCont,TSincidenceContLSD,Tsseverity,TSseverityLSD,TSseverityCont,TSseverityContLSD,CercoSever,CercoSeverLSD,CercoSeverCont,CercoSeverContLSD,yield,yieldLSD,yieldCont,yieldContLSD,seedWt,seedWtLSD,seedWtCont,seedWtContLSD,defoliation,lsd,control defol,conrol lsd,aerial web,lsd arial,control arial web,lsd arial
21,lawrence et al ref 4,4,2005,AL,EV Smith,Cahaba sandy loam,38495,39340,r1+21d,2,Punch,flusilazole,flus,triazole,triazole,5,rcb,4,Fishers LSD (p</=0.05,,,,,2.5,5.2,7.2,1.8,58.7,17.1,60,17.1,2.4,0.7,2.4,0.7,2.3,0.9,2,0.9,54.6,8.3,59.6,8.3,,,,,,,,,,,,
22,lawrence et al ref 4,4,2005,AL,EV Smith,Cahaba sandy loam,38495,39340,r1+21d,2,Charisma,fluzilazole + famoxidone,fluz+famo,mixed modes of action,mma,8,rcb,4,Fishers LSD (p</=0.05,,,,,0,5.2,7.2,1.8,50,17.1,60,17.1,2,0.7,2.4,0.7,1.4,0.9,2,0.9,57.5,8.3,59.6,8.3,,,,,,,,,,,,
23,lawrence et al ref 4,4,2005,AL,EV Smith,Cahaba sandy loam,38495,39340,r1+21d,2,Charisma,fluzilazole + famoxidone,fluz+famo,mixed modes of action,mma,10,rcb,4,Fishers LSD (p</=0.05,,,,,0,5.2,7.2,1.8,52.5,17.1,60,17.1,2,0.7,2.4,0.7,1.8,0.9,2,0.9,62,8.3,59.6,8.3,,,,,,,,,,,,
24,lawrence et al ref 4,4,2005,AL,EV Smith,Cahaba sandy loam,38495,39340,r1+21d,2,Manzate,other,oth,mancozeb,mancozeb,2,rcb,4,Fishers LSD (p</=0.05,,,,,0,5.2,7.2,1.8,42.5,17.1,60,17.1,2,0.7,2.4,0.7,1.5,0.9,2,0.9,62,8.3,59.6,8.3,,,,,,,,,,,,
25,lawrence et al ref 4,4,2005,AL,EV Smith,Cahaba sandy loam,38495,39340,r1+21d,2,Folicur,tebuconazole,tebu,triazole,triazole,4,rcb,4,Fishers LSD (p</=0.05,,,,,0,5.2,7.2,1.8,48.7,17.1,60,17.1,2,0.7,2.4,0.7,2.1,0.9,2,0.9,70.5,8.3,59.6,8.3,,,,,,,,,,,,
26,Delaney et al ref 6,6,2010,AL,TVREC,Decatur clay loam,40303,39340,r2,1,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,40.4,4.6,33.4,4.6,12.84,0.5,12.28,0.5,,,,,14.3,7.6,28.5,7.6
27,Delaney et al ref 6,6,2010,AL,TVREC,Decatur clay loam,40303,39340,r2 + r5,2,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,40.3,4.6,33.4,4.6,12.67,0.5,12.28,0.5,,,,,13,7.6,28.5,7.6
28,Delaney et al ref 6,6,2010,AL,TVREC,Decatur clay loam,40303,39340,r2,1,Quadris,azoxystrobin,azo,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,33.2,4.6,33.4,4.6,12.68,0.5,12.28,0.5,,,,,16.3,7.6,28.5,7.6
29,Delaney et al ref 6,6,2010,AL,TVREC,Decatur clay loam,40303,39340,r2 + r5,2,Quadris,azoxystrobin,azo,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,36.7,4.6,33.4,4.6,12.54,0.5,12.28,0.5,,,,,18.8,7.6,28.5,7.6
30,Delaney et al ref 6,6,2010,AL,TVREC,Decatur clay loam,40303,39340,r2,1,Stratego,propriconizole + trifloxystrobin,prop+trif,mixed modes of action,mma,10,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,40.9,4.6,33.4,4.6,12.88,0.5,12.28,0.5,,,,,15,7.6,28.5,7.6
31,Delaney et al ref 6,6,2010,AL,TVREC,Decatur clay loam,40303,39340,r2 + r5,2,Stratego,propriconizole + trifloxystrobin,prop+trif,mixed modes of action,mma,10,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,38.8,4.6,33.4,4.6,12.91,0.5,12.28,0.5,,,,,11,7.6,28.5,7.6
32,Delaney et al ref 6,6,2010,AL,TVREC,Decatur clay loam,40303,39340,r2,1,Domark,tetraconazole,tetr,triazole,triazole,5,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,37,4.6,33.4,4.6,12.96,0.5,12.28,0.5,,,,,18.3,7.6,28.5,7.6
33,Delaney et al ref 6,6,2010,AL,TVREC,Decatur clay loam,40303,39340,r2 + r5,2,Domark,tetraconazole,tetr,triazole,triazole,5,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,38.5,4.6,33.4,4.6,12.67,0.5,12.28,0.5,,,,,15.8,7.6,28.5,7.6
34,Sikora et al ref 7,7,2011,AL,GCREC,Malbis fine sandy loam,40709,39340,r3,1,Topguard,flutrifol,flut,triazole,triazole,7,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,58.4,3.5,57.1,3.5,15.5,0.55,14.9,0.55,,,,,,,,
35,Sikora et al ref 7,7,2011,AL,GCREC,Malbis fine sandy loam,40709,39340,r3+28d,2,Topguard ,flutrifol,flut,triazole,triazole,7,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,58.8,3.5,57.1,3.5,15.35,0.55,14.9,0.55,,,,,,,,
36,Sikora et al ref 7,7,2011,AL,GCREC,Malbis fine sandy loam,40709,39340,r3+21d,2,Domark,tetraconazole fb  tetraconazole,tetr fb tetr,triazole,triazole,5,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,58.2,3.5,57.1,3.5,15.35,0.55,14.9,0.55,,,,,,,,
37,Sikora et al ref 7,7,2011,AL,GCREC,Malbis fine sandy loam,40709,39340,r3,1,Topsin ,thiophanate,thio,thiophanate,thiophanate,20,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,59.5,3.5,57.1,3.5,15.75,0.55,14.9,0.55,,,,,,,,
38,Delaney et al ref 8,8,2011,AL,GCREC,Malbis fine sandy loam,40709,39340,r3,1,Topguard,flutrifol,flut,triazole,triazole,7,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,58.3,3.6,59,3.6,15.4,0.55,15,0.55,,,,,,,,
39,Delaney et al ref 8,8,2011,AL,GCREC,Malbis fine sandy loam,40709,39340,r3,1,Domark,tetraconazole,tetr,triazole,triazole,5,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,60.3,3.6,59,3.6,15.6,0.55,15,0.55,,,,,,,,
40,Delaney et al ref 8,8,2011,AL,GCREC,Malbis fine sandy loam,40709,39340,r3,1,Domark,tetraconazole,tetr,triazole,triazole,5,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,61.6,3.6,59,3.6,15.2,0.55,15,0.55,,,,,,,,
41,Delaney et al ref 8,8,2011,AL,GCREC,Malbis fine sandy loam,40709,39340,r3,1,Folicur,tebuconizole,tebu,triazole,triazole,4,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,61,3.6,59,3.6,15.5,0.55,15,0.55,,,,,,,,
42,Delaney et al ref 8,8,2011,AL,GCREC,Malbis fine sandy loam,40709,39340,r3,1,Folicur,tebuconizole,tebu,triazole,triazole,4,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,58.7,3.6,59,3.6,15.4,0.55,15,0.55,,,,,,,,
43,Delaney et al ref 8,8,2011,AL,GCREC,Malbis fine sandy loam,40709,39340,r3,1,Alto,cyproconazole,cyp,triazole,triazole,4,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,59.5,3.6,59,3.6,15.6,0.55,15,0.55,,,,,,,,
44,Delaney et al ref 8,8,2011,AL,GCREC,Malbis fine sandy loam,40709,39340,r3,1,Alto,cyproconazole,cyp,triazole,triazole,4,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,60.9,3.6,59,3.6,15.6,0.55,15,0.55,,,,,,,,
45,Delaney et al ref 8,8,2011,AL,GCREC,Malbis fine sandy loam,40709,39340,r3,1,Proline,prothioconazole,prot,triazole,triazole,3,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,56.4,3.6,59,3.6,15.6,0.55,15,0.55,,,,,,,,
46,Delaney et al ref 8,8,2011,AL,GCREC,Malbis fine sandy loam,40709,39340,r3,1,Proline,prothioconazole,prot,triazole,triazole,3,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,59.4,3.6,59,3.6,15.7,0.55,15,0.55,,,,,,,,
47,Delaney et al ref 8,8,2011,AL,GCREC,Malbis fine sandy loam,40709,39340,r3,1,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,59.8,3.6,59,3.6,15.4,0.55,15,0.55,,,,,,,,
48,Delaney et al ref 8,8,2011,AL,GCREC,Malbis fine sandy loam,40709,39340,r3,1,Quadris,azoxystrobin,azo,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,59.8,3.6,59,3.6,15.4,0.55,15,0.55,,,,,,,,
49,Delaney et al ref 8,8,2011,AL,GCREC,Malbis fine sandy loam,40709,39340,r3,1,Stratego,propriconizole + trifloxystrobin,prop+trif,mixed modes of action,mma,10,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,59.6,3.6,59,3.6,15.4,0.55,15,0.55,,,,,,,,
50,Mueller et al ref 9,9,2007,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",39248,39325,r3,1,Folicur + Induce,tebuconazole + surfactant,tebu+sur,mixed modes of action,mma,3,rcb,4,Fishers LSD (p</=0.05,6,24,88,24,,,,,,,,,,,,,,,,,46.3,0.4,36.7,0.4,13.61,1.13,11.34,1.13,58,14,89,14,,,,
51,Mueller et al ref 9,9,2007,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",39248,39325,r3,1,Absolute + Induce,tebuconazole + trifloxystrobin + other,tebu+trif+oth,mixed modes of action,mma,3.4,rcb,4,Fishers LSD (p</=0.05,7,24,88,24,,,,,,,,,,,,,,,,,44.8,0.4,36.7,0.4,15.03,1.13,11.34,1.13,53,14,89,14,,,,
52,Mueller et al ref 9,9,2007,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",39248,39325,r3,1,Folicur ,tebuconazole,tebu,triazole,triazole,5.1,rcb,4,Fishers LSD (p</=0.05,16,24,88,24,,,,,,,,,,,,,,,,,46.5,0.4,36.7,0.4,13.89,1.13,11.34,1.13,58,14,89,14,,,,
53,Mueller et al ref 9,9,2007,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",39248,39325,r3,1,Absolute ,tebuconazole + trifloxystrobin,tebu+trif,triazole,triazole,2.5,rcb,4,Fishers LSD (p</=0.05,16,24,88,24,,,,,,,,,,,,,,,,,46.6,0.4,36.7,0.4,13.61,1.13,11.34,1.13,55,14,89,14,,,,
54,Mueller et al ref 9,9,2007,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",39248,39325,r3,1,Absolute,tebuconazole + trifloxystrobin,tebu+trif,triazole,triazole,3.4,rcb,4,Fishers LSD (p</=0.05,20,24,88,24,,,,,,,,,,,,,,,,,39.8,0.4,36.7,0.4,14.17,1.13,11.34,1.13,55,14,89,14,,,,
55,Mueller et al ref 9,9,2007,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",39248,39325,r3,1,Folicur ,tebuconazole,tebu,triazole,triazole,6.8,rcb,4,Fishers LSD (p</=0.05,29,24,88,24,,,,,,,,,,,,,,,,,44.4,0.4,36.7,0.4,13.32,1.13,11.34,1.13,60,14,89,14,,,,
56,Mueller et al ref 9,9,2007,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",39248,39325,r3,1,Folicur + Induce,tebuconazole + surfactant,tebu+sur,mixed modes of action,mma,4,rcb,4,Fishers LSD (p</=0.05,31,24,88,24,,,,,,,,,,,,,,,,,44.8,0.4,36.7,0.4,13.89,1.13,11.34,1.13,65,14,89,14,,,,
57,Mueller et al ref 9,9,2007,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",39248,39325,r3,1,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,5.5,rcb,4,Fishers LSD (p</=0.05,58,24,88,24,,,,,,,,,,,,,,,,,46.3,0.4,36.7,0.4,13.32,1.13,11.34,1.13,63,14,89,14,,,,
58,Mueller et al ref 9,9,2007,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",39248,39325,r3,1,Stratego,propiconizole + trifloxystrobin,pro+trif,mixed modes of action,mma,6.8,rcb,4,Fishers LSD (p</=0.05,73,24,88,24,,,,,,,,,,,,,,,,,41.1,0.4,36.7,0.4,12.47,1.13,11.34,1.13,81,14,89,14,,,,
59,Allen ref 11,11,2010,MS,Noxubee co,Freest fine sandy loam,40299,,r5,1,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,39.5,7.3,36.3,7.3,,,,,,,,,3.2,0.41,5.6,0.41
60,Allen ref 11,11,2010,MS,Noxubee co,Freest fine sandy loam,40299,,r5 fb r5.5,2,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,6 + 4,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,38.9,7.3,36.3,7.3,,,,,,,,,2.8,0.41,5.6,0.41
61,Allen ref 11,11,2010,MS,Noxubee co,Freest fine sandy loam,40299,,r5,1,Quadris,azoxystrobin,azo,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,42.8,7.3,36.3,7.3,,,,,,,,,3.4,0.41,5.6,0.41
62,Allen ref 11,11,2010,MS,Noxubee co,Freest fine sandy loam,40299,,r5 fb r5.5,2,Quadris,azoxystrobin,azo,strobilurin,strobilurin,6 + 4,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,43.1,7.3,36.3,7.3,,,,,,,,,2.9,0.41,5.6,0.41
63,Allen ref 11,11,2010,MS,Noxubee co,Freest fine sandy loam,40299,,r5,1,Stratego,propiconizole + trifloxystrobin,prop+trif,mixed modes of action,mma,10,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,43.6,7.3,36.3,7.3,,,,,,,,,2.8,0.41,5.6,0.41
64,Allen ref 11,11,2010,MS,Noxubee co,Freest fine sandy loam,40299,,r5,1,Gem,trifloxystobin,trif,strobilurin,strobilurin,3.5,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,46.8,7.3,36.3,7.3,,,,,,,,,2.8,0.41,5.6,0.41
65,Allen ref 11,11,2010,MS,Noxubee co,Freest fine sandy loam,40299,,r5,1,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.05,,,,,,,,,,,,,,,,,,,,,40.8,7.3,36.3,7.3,,,,,,,,,2.6,0.41,5.6,0.41
66,Allen ref 12,12,2010,MS,Noxubee co,Freest fine sandy loam,40299,,r5,1,BASF1,other,oth,other,other,2.74,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,33.9,6.31,29.3,6.31,,,,,,,,,3.2,0.465,5.4,0.465
67,Allen ref 12,12,2010,MS,Noxubee co,Freest fine sandy loam,40299,,r5,1,BASF1,other,oth,other,other,4.57,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,35.1,6.31,29.3,6.31,,,,,,,,,2,0.465,5.4,0.465
68,Allen ref 12,12,2010,MS,Noxubee co,Freest fine sandy loam,40299,,r5,1,BASF2,other,oth,other,other,4.11,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,36.2,6.31,29.3,6.31,,,,,,,,,2.8,0.465,5.4,0.465
69,Allen ref 12,12,2010,MS,Noxubee co,Freest fine sandy loam,40299,,r5,1,BASF2,other,oth,other,other,4.93,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,37.5,6.31,29.3,6.31,,,,,,,,,2.5,0.465,5.4,0.465
70,Allen ref 12,12,2010,MS,Noxubee co,Freest fine sandy loam,40299,,r5,1,BASF2,other,oth,other,other,6.17,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,36.4,6.31,29.3,6.31,,,,,,,,,2.7,0.465,5.4,0.465
71,Allen ref 12,12,2010,MS,Noxubee co,Freest fine sandy loam,40299,,r5,1,Headline,pyraclostrobin,pyr,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,33.9,6.31,29.3,6.31,,,,,,,,,2.2,0.465,5.4,0.465
72,Allen ref 12,12,2010,MS,Noxubee co,Freest fine sandy loam,40299,,r5,1,Quilt,propiconizole + azoxystrobin,prop+azo,mixed modes of action,mma,10.5,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,31.6,6.31,29.3,6.31,,,,,,,,,2.5,0.465,5.4,0.465
73,Allen ref 12,12,2010,MS,Noxubee co,Freest fine sandy loam,40299,,r5,1,Quadris,azoxystrobin,azo,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,34,6.31,29.3,6.31,,,,,,,,,2.6,0.465,5.4,0.465
74,Allen ref 13,13,2011,MS,Clay Co,Mathiston silt loam,40672,,r5,1,BASF7,other,oth,other,other,4.6,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,52.2,7.75,38.9,7.75,,,,,,,,,,,,
75,Allen ref 13,13,2011,MS,Clay Co,Mathiston silt loam,40672,,r5,1,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,4,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,48.7,7.75,38.9,7.75,,,,,,,,,,,,
76,Allen ref 13,13,2011,MS,Clay Co,Mathiston silt loam,40672,,r5,1,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,52.7,7.75,38.9,7.75,,,,,,,,,,,,
77,Allen ref 13,13,2011,MS,Clay Co,Mathiston silt loam,40672,,r5,1,Priaxor,fluxapyroxad + pyraclostrobin,flux+pyra,mixed modes of action,mma,4,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,53.6,7.75,38.9,7.75,,,,,,,,,,,,
78,Allen ref 13,13,2011,MS,Clay Co,Mathiston silt loam,40672,,r5,1,Quilt,propiconizole + azoxystrobin,prop+azo,mixed modes of action,mma,10.5,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,53.3,7.75,38.9,7.75,,,,,,,,,,,,
79,Allen ref 14,14,2011,MS,Clay Co,Mathiston silt loam,40672,,r5,1,Gem,trifloxystrobin,trif,strobilurin,strobilurin,3.5,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,63.6,7.14,59.2,7.14,,,,,,,,,,,,
80,Allen ref 14,14,2011,MS,Clay Co,Mathiston silt loam,40672,,r5,1,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,62,7.14,59.2,7.14,,,,,,,,,,,,
81,Allen ref 14,14,2011,MS,Clay Co,Mathiston silt loam,40672,,r5,1,Quadris,azoxystrobin,azo,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,66.5,7.14,59.2,7.14,,,,,,,,,,,,
82,Allen ref 14,14,2011,MS,Clay Co,Mathiston silt loam,40672,,r5,1,Quilt,propiconizole + azoxystrobin,pro+azo,mixed modes of action,mma,10.5,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,61.6,7.14,59.2,7.14,,,,,,,,,,,,
83,Allen ref 14,14,2011,MS,Clay Co,Mathiston silt loam,40672,,r5,1,Stratego,propiconizole + trifloxystrobin,prop+trif,mixed modes of action,mma,3.2,rcb,4,Fishers LSD (p</=0.25,,,,,,,,,,,,,,,,,,,,,64.9,7.14,59.2,7.14,,,,,,,,,,,,
84,Lawrence ref 16,16,2008,AL,GCREC,Malbis fine sandy loam,39608,,r3,1,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.1,,,,,7.5,1.6,7.1,1.6,,,,,,,,,,,,,35.5,6.3,31.5,6.3,,,,,77.5,51.5,97.5,51.5,,,,
85,Lawrence ref 16,16,2008,AL,GCREC,Malbis fine sandy loam,39608,,r3,1,Quadris,azoxystrobin,azo,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.1,,,,,7.3,1.6,7.1,1.6,,,,,,,,,,,,,29,6.3,31.5,6.3,,,,,92.3,51.5,97.5,51.5,,,,
86,Lawrence ref 16,16,2008,AL,GCREC,Malbis fine sandy loam,39608,,r3,1,Domark,tetraconazole,tetr,triazole,triazole,5,rcb,4,Fishers LSD (p</=0.1,,,,,4.9,1.6,7.1,1.6,,,,,,,,,,,,,39.7,6.3,31.5,6.3,,,,,69,51.5,97.5,51.5,,,,
87,Lawrence ref 16,16,2008,AL,GCREC,Malbis fine sandy loam,39608,,r3,1,Topguard,flutrifol,flut,triazole,triazole,7,rcb,4,Fishers LSD (p</=0.1,,,,,5,1.6,7.1,1.6,,,,,,,,,,,,,36.5,6.3,31.5,6.3,,,,,36.8,51.5,97.5,51.5,,,,
88,Lawrence ref 16,16,2008,AL,GCREC,Malbis fine sandy loam,39608,,r3,1,Punch + Picoxystrobin,flusilazole + picoxystrobin,flus+pic,mixed modes of action,mma,4 + 6,rcb,4,Fishers LSD (p</=0.1,,,,,7.1,1.6,7.1,1.6,,,,,,,,,,,,,33.7,6.3,31.5,6.3,,,,,58.5,51.5,97.5,51.5,,,,
89,Lawrence ref 16,16,2008,AL,GCREC,Malbis fine sandy loam,39608,,r3,1,Alto,cyproconazole,cypr,triazole,triazole,4,rcb,4,Fishers LSD (p</=0.1,,,,,6.6,1.6,7.1,1.6,,,,,,,,,,,,,31.1,6.3,31.5,6.3,,,,,79,51.5,97.5,51.5,,,,
