"","FID","Reference","ReferenceNumb","studyYear","State","location","m1i","m2i","n2i","n1i","rust.m2i","number_applications","category_rstage","category_ai","category_class","category_pressure","category_year","yi","vi"
"15",163,"Delaney ref 30",30,2013,"AL","EVSREC",12.8,11.7,4,4,24,1,NA,"TEBU","triazole","low",NA,0.0898563291218611,0.00335216278381593
"16",164,"Delaney ref 30",30,2013,"AL","EVSREC",11.9,11.7,4,4,24,1,NA,NA,"strobilurin","low",NA,0.0169495583137734,0.00359169592473774
"17",165,"Delaney ref 30",30,2013,"AL","EVSREC",12.8,11.7,4,4,24,1,NA,"MIXED","triaz + strob","low",NA,0.0898563291218611,0.00335216278381593
"18",166,"Delaney ref 30",30,2013,"AL","EVSREC",12.2,11.7,4,4,24,1,NA,"MIXED","strobilurin","low",NA,0.0418471099355005,0.00350593988401581
"19",167,"Delaney ref 30",30,2013,"AL","EVSREC",11.8,11.7,4,4,24,1,NA,"MIXED","triaz + strob","low",NA,0.00851068966790883,0.00362174495196984
"20",168,"Delaney ref 30",30,2013,"AL","EVSREC",12.2,11.7,4,4,24,1,NA,"MIXED","triaz + strob","low",NA,0.0418471099355005,0.00350593988401581
"21",169,"Delaney ref 30",30,2013,"AL","EVSREC",12.5,11.7,4,4,24,1,NA,"MIXED","triaz + strob","low",NA,0.066139802504545,0.00342628387756593
"22",179,"Delaney ref 32",32,2013,"AL","GCREC",15.2,15.2,4,4,7,1,NA,"MIXED","triaz + strob","low",NA,0,0.00216412742382271
"23",180,"Delaney ref 32",32,2013,"AL","GCREC",15.8,15.2,4,4,7,1,"3","MIXED","triaz + strob","low",NA,0.0387145121806904,0.00208350578850165
"24",181,"Delaney ref 32",32,2013,"AL","GCREC",15.7,15.2,4,4,7,1,"3","MIXED","triaz + strob","low",NA,0.0323652845020317,0.00209630364050887
"25",182,"Delaney ref 32",32,2013,"AL","GCREC",15.6,15.2,4,4,7,1,NA,"MIXED","triaz + strob","low",NA,0.0259754864032607,0.00210934839304219
"30",187,"Delaney ref 34",34,2013,"AL","GCREC",17.7,16.3,4,4,8,1,"3","FLUT","triazole","low",NA,0.0823995317670668,0.00173892891524939
"31",188,"Delaney ref 34",34,2013,"AL","GCREC",17.3,16.3,4,4,8,1,NA,"FLUT","triazole","low",NA,0.0595413936910167,0.00177625644973531
"32",189,"Delaney ref 34",34,2013,"AL","GCREC",17,16.3,4,4,8,1,"3",NA,"triazole","low",NA,0.0420482362434994,0.00180599811862851
"33",190,"Delaney ref 34",34,2013,"AL","GCREC",16.8,16.3,4,4,8,1,NA,NA,"triazole","low",NA,0.0302137785964966,0.00182671719057101
"34",191,"Delaney ref 34",34,2013,"AL","GCREC",17.5,16.3,4,4,8,1,"3","TEBU","triazole","low",NA,0.0710357731167517,0.00175727274612657
"35",192,"Delaney ref 34",34,2013,"AL","GCREC",17.1,16.3,4,4,8,1,NA,"TEBU","triazole","low",NA,0.0479133556958974,0.00179591013603688
"36",193,"Delaney ref 34",34,2013,"AL","GCREC",16.6,16.3,4,4,8,1,"3",NA,"strobilurin","low",NA,0.018237587549781,0.00184818964707188
"37",194,"Delaney ref 34",34,2013,"AL","GCREC",16.8,16.3,4,4,8,1,"3","MIXED","triaz + strob","low",NA,0.0302137785964966,0.00182671719057101
"38",195,"Delaney ref 34",34,2013,"AL","GCREC",16.4,16.3,4,4,8,1,"3","MIXED","triaz + strob","low",NA,0.00611622701743605,0.0018704524617963
"39",196,"Delaney ref 34",34,2013,"AL","GCREC",16.1,16.3,4,4,8,1,"3","MIXED","triaz + strob","low",NA,-0.0123458358222993,0.00190541517890308
"40",197,"Delaney ref 34",34,2013,"AL","GCREC",16.5,16.3,4,4,8,1,"3","MIXED","strobilurin","low",NA,0.0121952730938182,0.00185921986106069
"41",198,"Delaney ref 34",34,2013,"AL","GCREC",16.6,16.3,4,4,8,1,"3","MIXED","strobilurin","low",NA,0.018237587549781,0.00184818964707188
"42",212,"Mueller ref 36",36,2006,"FL","NFREC",12.757275,11.623295,4,4,81.3,1,NA,NA,"strobilurin","high",2006,0.0930904230660118,0.00338658418061035
"43",213,"Mueller ref 36",36,2006,"FL","NFREC",14.17475,11.623295,4,4,81.3,1,"3",NA,"strobilurin","high",2006,0.198450938723838,0.00309472203235208
"44",214,"Mueller ref 36",36,2006,"FL","NFREC",14.17475,11.623295,4,4,81.3,1,NA,NA,"strobilurin","high",2006,0.198450938723838,0.00309472203235208
"45",215,"Mueller ref 36",36,2006,"FL","NFREC",13.04077,11.623295,4,4,81.3,1,NA,"TEBU","triazole","high",2006,0.115069329784787,0.00332052245667367
"46",216,"Mueller ref 36",36,2006,"FL","NFREC",14.458245,11.623295,4,4,81.3,1,"3","TEBU","triazole","high",2006,0.218253566020018,0.00304640611671435
"47",217,"Mueller ref 36",36,2006,"FL","NFREC",15.592225,11.623295,4,4,81.3,1,NA,"TEBU","triazole","high",2006,0.293761118528163,0.00287877705010445
"48",218,"Mueller ref 36",36,2006,"FL","NFREC",14.458245,11.623295,4,4,81.3,2,NA,"TEBU","triazole","high",2006,0.218253566020018,0.00304640611671435
"49",219,"Mueller ref 36",36,2006,"FL","NFREC",16.159215,11.623295,4,4,81.3,2,"3","TEBU","triazole","high",2006,0.329479201130242,0.00280788098534684
"50",220,"Mueller ref 36",36,2006,"FL","NFREC",16.44271,11.623295,4,4,81.3,NA,NA,"TEBU","triazole","high",2006,0.346870943842112,0.00277515133669361
"51",221,"Mueller ref 36",36,2006,"FL","NFREC",11.90679,11.623295,4,4,81.3,1,NA,"MIXED","triaz + strob","high",2006,0.0240975515790605,0.00361386673430234
"52",222,"Mueller ref 36",36,2006,"FL","NFREC",12.190285,11.623295,4,4,81.3,1,"3","MIXED","triaz + strob","high",2006,0.0476280489892544,0.0035328018746511
"53",223,"Mueller ref 36",36,2006,"FL","NFREC",13.324265,11.623295,4,4,81.3,1,NA,"MIXED","triaz + strob","high",2006,0.136575535005751,0.00325863241563091
"54",224,"Mueller ref 36",36,2006,"FL","NFREC",13.324265,11.623295,4,4,81.3,2,NA,"MIXED","triaz + strob","high",2006,0.136575535005751,0.00325863241563091
"55",225,"Mueller ref 36",36,2006,"FL","NFREC",13.891255,11.623295,4,4,81.3,2,"3","MIXED","triaz + strob","high",2006,0.178248231406319,0.00314602615052396
"56",226,"Mueller ref 36",36,2006,"FL","NFREC",12.757275,11.623295,4,4,81.3,1,NA,"MIXED","triaz + strob","high",2006,0.0930904230660118,0.00338658418061035
"57",227,"Mueller ref 36",36,2006,"FL","NFREC",15.025235,11.623295,4,4,81.3,1,"3","MIXED","triaz + strob","high",2006,0.256719846847814,0.00295784961645663
"58",228,"Mueller ref 36",36,2006,"FL","NFREC",16.159215,11.623295,4,4,81.3,1,NA,"MIXED","triaz + strob","high",2006,0.329479201130242,0.00280788098534684
"59",229,"Mueller ref 36",36,2006,"FL","NFREC",15.592225,11.623295,4,4,81.3,2,NA,"MIXED","triaz + strob","high",2006,0.293761118528163,0.00287877705010445
"60",230,"Mueller ref 36",36,2006,"FL","NFREC",16.44271,11.623295,4,4,81.3,2,"3","MIXED","triaz + strob","high",2006,0.346870943842112,0.00277515133669361
"61",231,"Mueller ref 36",36,2006,"FL","NFREC",15.025235,11.623295,4,4,81.3,2,NA,NA,"strobilurin","high",2006,0.256719846847814,0.00295784961645663
"62",232,"Mueller ref 36",36,2006,"FL","NFREC",16.159215,11.623295,4,4,81.3,2,"3",NA,"strobilurin","high",2006,0.329479201130242,0.00280788098534684
"63",233,"Mueller ref 36",36,2006,"FL","NFREC",15.30873,11.623295,4,4,81.3,2,NA,NA,"strobilurin","high",2006,0.275411979859967,0.00291721522873302
"64",234,"Mueller ref 36",36,2006,"FL","NFREC",16.44271,11.623295,4,4,81.3,2,"3",NA,NA,"high",2006,0.346870943842112,0.00277515133669361
"65",235,"Mueller ref 37",37,2006,"FL","NFREC",17.860185,15.592225,4,4,82.5,2,NA,"FLUT","triazole","high",2006,0.135801541159062,0.00181204238303994
"66",236,"Mueller ref 37",37,2006,"FL","NFREC",17.57669,15.592225,4,4,82.5,2,NA,"TEBU","triazole","high",2006,0.119801199812621,0.00183752797564418
"67",237,"Mueller ref 37",37,2006,"FL","NFREC",17.293195,15.592225,4,4,82.5,2,NA,NA,"triazole","high",2006,0.10354067894084,0.00186427720433901
"68",238,"Mueller ref 37",37,2006,"FL","NFREC",17.57669,15.592225,4,4,82.5,2,NA,NA,"strobilurin","high",2006,0.119801199812621,0.00183752797564418
"69",239,"Mueller ref 37",37,2006,"FL","NFREC",17.57669,15.592225,4,4,82.5,2,NA,"MIXED","triaz + strob","high",2006,0.119801199812621,0.00183752797564418
"70",240,"Mueller ref 37",37,2006,"FL","NFREC",17.860185,15.592225,4,4,82.5,2,NA,NA,"triazole","high",2006,0.135801541159062,0.00181204238303994
"71",241,"Mueller ref 37",37,2006,"FL","NFREC",17.0097,15.592225,4,4,82.5,2,NA,NA,"strobilurin","high",2006,0.0870113769896297,0.0018923750097759
"72",242,"Mueller ref 37",37,2006,"FL","NFREC",17.57669,15.592225,4,4,82.5,2,NA,"MIXED","triaz + strob","high",2006,0.119801199812621,0.00183752797564418
"73",243,"Mueller ref 37",37,2006,"FL","NFREC",17.293195,15.592225,4,4,82.5,2,NA,"MIXED","triaz + strob","high",2006,0.10354067894084,0.00186427720433901
"74",244,"Mueller ref 37",37,2006,"FL","NFREC",17.57669,15.592225,4,4,82.5,2,NA,"MIXED","triaz + strob","high",2006,0.119801199812621,0.00183752797564418
"75",245,"Mueller ref 37",37,2006,"FL","NFREC",17.860185,15.592225,4,4,82.5,2,NA,"MIXED",NA,"high",2006,0.135801541159062,0.00181204238303994
"76",246,"Mueller ref 37",37,2006,"FL","NFREC",17.293195,15.592225,4,4,82.5,2,NA,"MIXED","triaz + strob","high",2006,0.10354067894084,0.00186427720433901
"77",247,"Mueller ref 37",37,2006,"FL","NFREC",17.57669,15.592225,4,4,82.5,2,NA,"MIXED","triaz + strob","high",2006,0.119801199812621,0.00183752797564418
"78",248,"Mueller ref 37",37,2006,"FL","NFREC",17.293195,15.592225,4,4,82.5,2,NA,"MIXED","strobilurin","high",2006,0.10354067894084,0.00186427720433901
"79",249,"Mueller ref 37",37,2006,"FL","NFREC",17.57669,15.592225,4,4,82.5,2,NA,"MIXED","triaz + strob","high",2006,0.119801199812621,0.00183752797564418
"80",250,"Mueller ref 38",38,2006,"FL","NFREC",14.458245,11.3398,4,4,87.5,2,NA,"MIXED","triaz + strob","high",2006,0.242946178610389,0.00314008603951262
"81",251,"Mueller ref 38",38,2006,"FL","NFREC",14.74174,11.3398,4,4,87.5,2,NA,"MIXED","triaz + strob","high",2006,0.262364264467491,0.00309453068962132
"82",252,"Mueller ref 38",38,2006,"FL","NFREC",14.17475,11.3398,4,4,87.5,2,NA,"MIXED","triaz + strob","high",2006,0.22314355131421,0.00318840195515035
"83",253,"Mueller ref 38",38,2006,"FL","NFREC",14.458245,11.3398,4,4,87.5,2,NA,"MIXED","triaz + strob","high",2006,0.242946178610389,0.00314008603951262
"84",254,"Mueller ref 38",38,2006,"FL","NFREC",14.458245,11.3398,4,4,87.5,2,NA,"MIXED","triaz + strob","high",2006,0.242946178610389,0.00314008603951262
"85",255,"Mueller ref 38",38,2006,"FL","NFREC",14.74174,11.3398,4,4,87.5,2,NA,"MIXED","triaz + strob","high",2006,0.262364264467491,0.00309453068962132
"86",256,"Mueller ref 39",39,2006,"FL","NFREC",14.74174,11.623295,4,4,87.5,2,NA,"TEBU","triazole","high",2006,0.23767165187712,0.00300085076682305
"87",257,"Mueller ref 39",39,2006,"FL","NFREC",14.74174,11.623295,4,4,87.5,2,NA,"TEBU","triazole","high",2006,0.23767165187712,0.00300085076682305
"88",258,"Mueller ref 39",39,2006,"FL","NFREC",11.90679,11.623295,4,4,87.5,2,NA,NA,NA,"high",2006,0.0240975515790605,0.00361386673430234
"89",259,"Mueller ref 39",39,2006,"FL","NFREC",13.60776,11.623295,4,4,87.5,2,NA,NA,NA,"high",2006,0.157628944203583,0.00320057006473851
"90",260,"Mueller ref 39",39,2006,"FL","NFREC",12.190285,11.623295,4,4,87.5,2,NA,NA,NA,"high",2006,0.0476280489892544,0.0035328018746511
"91",261,"Mueller ref 39",39,2006,"FL","NFREC",11.90679,11.623295,4,4,87.5,2,NA,NA,NA,"high",2006,0.0240975515790605,0.00361386673430234
"92",262,"Mueller ref 39",39,2006,"FL","NFREC",14.458245,11.623295,4,4,87.5,2,NA,"MIXED",NA,"high",2006,0.218253566020018,0.00304640611671435
"93",263,"Mueller ref 39",39,2006,"FL","NFREC",15.025235,11.623295,4,4,87.5,2,NA,"MIXED",NA,"high",2006,0.256719846847814,0.00295784961645663
"94",264,"Mueller ref 39",39,2006,"FL","NFREC",14.458245,11.623295,4,4,87.5,2,NA,"MIXED",NA,"high",2006,0.218253566020018,0.00304640611671435
"95",265,"Mueller ref 39",39,2006,"FL","NFREC",14.74174,11.623295,4,4,87.5,2,NA,"MIXED",NA,"high",2006,0.23767165187712,0.00300085076682305
"96",266,"Mueller ref 39",39,2006,"FL","NFREC",15.30873,11.623295,4,4,87.5,2,NA,NA,"strobilurin","high",2006,0.275411979859967,0.00291721522873302
"97",267,"Mueller ref 40",40,2006,"FL","NFREC",15.87572,15.30873,4,4,37.5,2,NA,NA,"triazole","low",2006,0.0363676441708748,0.00205865962485622
"98",268,"Mueller ref 40",40,2006,"FL","NFREC",16.159215,15.30873,4,4,37.5,2,NA,"MIXED","triaz + strob","low",2006,0.0540672212702758,0.00202416099241987
"99",269,"Mueller ref 40",40,2006,"FL","NFREC",15.87572,15.30873,4,4,37.5,2,NA,"MIXED",NA,"low",2006,0.0363676441708748,0.00205865962485622
"100",270,"Mueller ref 40",40,2006,"FL","NFREC",15.592225,15.30873,4,4,37.5,2,NA,"MIXED",NA,"low",2006,0.0183491386681964,0.00209505705717748
"101",316,"Mueller ref 45",45,2006,"FL","NFREC",15.88,15.3,4,4,60,1,NA,"FLUT","triazole","medium",2006,0.0372076274206,0.00205934270844754
"102",317,"Mueller ref 45",45,2006,"FL","NFREC",15.6,15.3,4,4,60,1,NA,"FLUT","triazole","medium",2006,0.0194180858571015,0.00209524999361749
"103",318,"Mueller ref 45",45,2006,"FL","NFREC",16.2,15.3,4,4,60,1,NA,"FLUT","triazole","medium",2006,0.0571584138399486,0.00202056400171085
"104",319,"Mueller ref 45",45,2006,"FL","NFREC",15.88,15.3,4,4,60,1,NA,"FLUT","triazole","medium",2006,0.0372076274206,0.00205934270844754
"105",320,"Mueller ref 45",45,2006,"FL","NFREC",16.2,15.3,4,4,60,2,NA,"FLUT","triazole","medium",2006,0.0571584138399486,0.00202056400171085
"106",321,"Mueller ref 45",45,2006,"FL","NFREC",15.88,15.3,4,4,60,2,NA,"FLUT","triazole","medium",2006,0.0372076274206,0.00205934270844754
"107",322,"Mueller ref 45",45,2006,"FL","NFREC",16.44,15.3,4,4,60,2,NA,"FLUT","triazole","medium",2006,0.071864561229644,0.00199295391662705
"108",323,"Mueller ref 45",45,2006,"FL","NFREC",15.88,15.3,4,4,60,2,NA,"FLUT","triazole","medium",2006,0.0372076274206,0.00205934270844754
"109",324,"Mueller ref 45",45,2006,"FL","NFREC",16.44,15.3,4,4,60,2,NA,"FLUT","triazole","medium",2006,0.071864561229644,0.00199295391662705
"110",325,"Mueller ref 45",45,2006,"FL","NFREC",15.6,15.3,4,4,60,2,NA,"TEBU","triazole","medium",2006,0.0194180858571015,0.00209524999361749
"111",326,"Mueller ref 45",45,2006,"FL","NFREC",14.7,13.3,4,4,67,1,NA,"FLUT","triazole","medium",2006,0.100083458556982,0.00257023306052969
"112",327,"Mueller ref 45",45,2006,"FL","NFREC",15.3,13.3,4,4,67,1,NA,"FLUT","triazole","medium",2006,0.140088793170682,0.00248127301784026
"113",328,"Mueller ref 45",45,2006,"FL","NFREC",15,13.3,4,4,67,1,NA,"FLUT","triazole","medium",2006,0.120286165874502,0.00252441881646472
"114",329,"Mueller ref 45",45,2006,"FL","NFREC",15.6,13.3,4,4,67,1,NA,"FLUT","triazole","medium",2006,0.159506879027783,0.00244059238648444
"115",330,"Mueller ref 45",45,2006,"FL","NFREC",15,13.3,4,4,67,2,NA,"FLUT","triazole","medium",2006,0.120286165874502,0.00252441881646472
"116",331,"Mueller ref 45",45,2006,"FL","NFREC",15,13.3,4,4,67,2,NA,"MIXED",NA,"medium",2006,0.120286165874502,0.00252441881646472
"117",332,"Mueller ref 45",45,2006,"FL","NFREC",15.3,13.3,4,4,67,2,NA,"MIXED","triaz + strob","medium",2006,0.140088793170682,0.00248127301784026
"118",467,"Douglas et al ref 65",65,2008,"FL","NFREC",0.48,0.34,4,4,87.5,1,"3","FLUT","triazole","high",NA,0.344840486291729,3.24769920222991
"119",468,"Douglas et al ref 65",65,2008,"FL","NFREC",0.48,0.34,4,4,87.5,2,"3",NA,NA,"high",NA,0.344840486291729,3.24769920222991
"120",469,"Douglas et al ref 65",65,2008,"FL","NFREC",0.44,0.34,4,4,87.5,1,"3",NA,"triazole","high",NA,0.2578291093021,3.45395207183505
"121",470,"Douglas et al ref 65",65,2008,"FL","NFREC",0.41,0.34,4,4,87.5,1,"3",NA,"triazole","high",NA,0.187211542088146,3.64983975183663
"122",471,"Douglas et al ref 65",65,2008,"FL","NFREC",0.41,0.34,4,4,87.5,1,"3","MIXED",NA,"high",NA,0.187211542088146,3.64983975183663
"123",472,"Douglas et al ref 65",65,2008,"FL","NFREC",0.43,0.34,4,4,87.5,1,"3",NA,NA,"high",NA,0.234839591077401,3.51471196438363
"124",473,"Douglas et al ref 65",65,2008,"FL","NFREC",0.4,0.34,4,4,87.5,1,"3","TEBU","triazole","high",NA,0.162518929497775,3.72512975778547
"125",474,"Douglas et al ref 65",65,2008,"FL","NFREC",0.42,0.34,4,4,87.5,1,"3","TEBU","triazole","high",NA,0.211309093667207,3.57986331787617
"126",475,"Douglas et al ref 65",65,2008,"FL","NFREC",0.43,0.34,4,4,87.5,1,NA,"FLUT","triazole","high",NA,0.234839591077401,3.51471196438363
"127",476,"Douglas et al ref 65",65,2008,"FL","NFREC",0.42,0.34,4,4,87.5,1,NA,NA,"triazole","high",NA,0.211309093667207,3.57986331787617
"128",477,"Douglas et al ref 65",65,2008,"FL","NFREC",0.39,0.34,4,4,87.5,1,"3","MIXED",NA,"high",NA,0.137201121513485,3.8062852475948
"129",478,"Douglas et al ref 65",65,2008,"FL","NFREC",0.42,0.34,4,4,87.5,1,NA,NA,"triazole","high",NA,0.211309093667207,3.57986331787617
"130",479,"Douglas et al ref 65",65,2008,"FL","NFREC",0.37,0.34,4,4,87.5,1,"3","MIXED","triaz + strob","high",NA,0.084557388028063,3.98878023258459
"131",480,"Douglas et al ref 65",65,2008,"FL","NFREC",0.35,0.34,4,4,87.5,1,"3",NA,NA,"high",NA,0.0289875368732522,4.20344608431608
"132",481,"Douglas et al ref 65",65,2008,"FL","NFREC",0.37,0.34,4,4,87.5,1,"3",NA,"strobilurin","high",NA,0.084557388028063,3.98878023258459
"133",482,"Douglas et al ref 65",65,2008,"FL","NFREC",0.35,0.34,4,4,87.5,1,"3",NA,NA,"high",NA,0.0289875368732522,4.20344608431608
"134",483,"Douglas et al ref 65",65,2008,"FL","NFREC",0.51,0.34,4,4,87.5,2,"3",NA,NA,"high",NA,0.405465108108164,3.12379853902345
"135",484,"Douglas et al ref 65",65,2008,"FL","NFREC",0.35,0.34,4,4,87.5,1,"3",NA,NA,"high",NA,0.0289875368732522,4.20344608431608
"136",485,"Douglas et al ref 66",66,2008,"FL","NFREC",0.512,0.348,4,4,75,1,NA,"FLUT","triazole","high",NA,0.386122145265034,3.01801570892838
"137",486,"Douglas et al ref 66",66,2008,"FL","NFREC",0.536,0.348,4,4,75,1,NA,"FLUT","triazole","high",NA,0.431931681296328,2.93452406126795
"138",487,"Douglas et al ref 66",66,2008,"FL","NFREC",0.536,0.348,4,4,75,1,NA,"FLUT","triazole","high",NA,0.431931681296328,2.93452406126795
"139",488,"Douglas et al ref 66",66,2008,"FL","NFREC",0.53,0.348,4,4,75,2,NA,"FLUT","triazole","high",NA,0.420674526771693,2.95433783253637
"140",489,"Douglas et al ref 66",66,2008,"FL","NFREC",0.518,0.348,4,4,75,2,NA,"FLUT","triazole","high",NA,0.397772762485009,2.99605081844005
"141",490,"Douglas et al ref 66",66,2008,"FL","NFREC",0.554,0.348,4,4,75,2,NA,"FLUT","triazole","high",NA,0.46496220697281,2.87889651509638
"142",491,"Douglas et al ref 66",66,2008,"FL","NFREC",0.549,0.348,4,4,75,2,NA,"FLUT","triazole","high",NA,0.455895961735056,2.89380114879368
"143",492,"Douglas et al ref 66",66,2008,"FL","NFREC",0.536,0.348,4,4,75,2,NA,"FLUT","triazole","high",NA,0.431931681296328,2.93452406126795
"144",493,"Douglas et al ref 66",66,2008,"FL","NFREC",0.502,0.348,4,4,75,2,NA,"FLUT","triazole","high",NA,0.366397639917255,3.05638913779601
"145",494,"Douglas et al ref 66",66,2008,"FL","NFREC",0.54,0.348,4,4,75,1,NA,"FLUT","triazole","high",NA,0.439366659783846,2.92168021282391
"146",495,"Douglas et al ref 66",66,2008,"FL","NFREC",0.548,0.348,4,4,75,1,NA,"MIXED","triaz + strob","high",NA,0.454072807173541,2.89683113624849
"147",496,"Douglas et al ref 66",66,2008,"FL","NFREC",0.53,0.348,4,4,75,1,NA,"MIXED",NA,"high",NA,0.420674526771693,2.95433783253637
"148",497,"Douglas et al ref 66",66,2008,"FL","NFREC",0.536,0.348,4,4,75,2,NA,"TEBU","triazole","high",NA,0.431931681296328,2.93452406126795
